"country","life_expectancy","GDP"
"Afghanistan",58.19375,340.01542546875
"Albania",75.15625,2119.726678875
"Algeria",73.61875,2847.8533923125
"Angola",49.01875,1975.14304511875
"Antigua and Barbuda",75.05625,9759.305728125
"Argentina",75.15625,6998.575103125
"Armenia",73.4,1999.98631765
"Australia",81.8125,34637.565046875
"Austria",81.48125,33827.47630875
"Azerbaijan",70.73125,3302.94780699375
"Bahrain",75.725,11191.247420625
"Bangladesh",69.3,443.561481025
"Barbados",74.35625,12017.098529375
"Belarus",69.90625,3811.525348
"Belgium",80.68125,16915.306
"Belize",69.26875,3933.0121745
"Benin",57.56875,561.167968
"Bhutan",66.1625,1353.98694560625
"Bosnia and Herzegovina",75.96875,2245.0260235625
"Botswana",56.05,4498.2854311875
"Brazil",73.38125,6143.1617935
"Brunei Darussalam",76.4875,19744.808101875
"Bulgaria",72.85,4938.981821375
"Burkina Faso",55.64375,410.3720343125
"Burundi",55.5375,137.81532131875
"Cabo Verde",72.51875,2023.54103925
"Cambodia",64.34375,466.19687805
"Cameroon",54.01875,781.0160044125
"Canada",81.6875,29382.907523125
"Central African Republic",48.5125,363.05590485
"Chad",50.3875,484.79169405625
"Chile",79.45,6202.3443635625
"China",74.2625,2345.3031576875
"Colombia",73.2875,3321.6607483125
"Comoros",61.58125,630.38433406875
"Costa Rica",78.59375,3957.22728625
"Croatia",76.11875,9056.7847190625
"Cuba",77.975,3180.4348844375
"Cyprus",79.675,13898.88550125
"Denmark",79.25625,33067.407915625
"Djibouti",60.75625,897.99987065
"Dominican Republic",72.34375,3509.4991863125
"Ecuador",74.725,2005.3524679375
"El Salvador",71.74375,2517.8346304375
"Equatorial Guinea",55.3125,7902.4107885625
"Eritrea",59.525,259.395356291667
"Estonia",74.94375,8340.4329494375
"Ethiopia",59.1125,264.97094995
"Fiji",68.7125,2947.612688875
"Finland",80.7125,25268.649758125
"France",82.21875,26465.551380625
"Gabon",62.24375,5179.256188625
"Georgia",73.50625,2158.28086928125
"Germany",81.175,24337.7491
"Ghana",60.8625,834.3761008125
"Greece",81.21875,16454.23587
